year,player_id,guid,player_name,position,pos_abbr,school,team_name,team_abbr,weight,height,ovr_rk,pos_rk,grade,link,player_image
2004,8029,269120d95714ddfcb1d5268e715feb27,KEVIN BEARD,Wide Receiver,WR,Miami,Hurricanes,MIAMI,180,72.125,330,43,35,http://insider.espn.com/nfl/draft/player/_/id/8029,NA
2004,7385,6e6f0e4a17976dd61d42bdc0dc35cab5,KALEN THORNTON,Defensive End,DE,Texas,Longhorns,TEX,260,74,331,29,34,http://insider.espn.com/nfl/draft/player/_/id/7385,NA
2004,7499,5d976b03ed90ed903f7fabbe7b87e5ed,CHAD PUGH,Defensive Tackle,DT,NA,NA,NA,317,74.875,332,29,34,http://insider.espn.com/nfl/draft/player/_/id/7499,NA
2004,7553,NA,TERZELL LEACH,Fullback,FB,NA,NA,NA,541,71.625,333,8,34,http://insider.espn.com/nfl/draft/player/_/id/7553,NA
2004,8120,NA,RICH SCANLON,Inside Linebacker,ILB,Syracuse,Orange,SYR,249,73.375,334,18,34,http://insider.espn.com/nfl/draft/player/_/id/8120,NA
2004,7607,75d837bfa77579289cca6bf086dc00de,TOBY CECIL,NA,NA,Texas Tech,Red Raiders,TTU,297,76,335,9,34,http://insider.espn.com/nfl/draft/player/_/id/7607,NA
2004,7649,9f3fc452f483c820dc456cd141290005,BRYCE BISHOP,Offensive Guard,OG,NA,NA,NA,310,74,336,21,34,http://insider.espn.com/nfl/draft/player/_/id/7649,NA
2004,7862,eb23507351e9e5f50a22478992b734d0,JASON FIFE,Quarterback,QB,NA,NA,NA,226,75.875,337,20,34,http://insider.espn.com/nfl/draft/player/_/id/7862,NA
2004,7913,f15969f65435b7c92888e35a430106cb,BRANDON WARFIELD,Running Back,RB,NA,NA,NA,209,69.875,338,27,34,http://insider.espn.com/nfl/draft/player/_/id/7913,NA
2004,7304,66c534012e4e3a930db9bd9752899e23,JONAS RUTLEDGE,Cornerback,CB,SMU,Mustangs,SMU,186,70.125,339,35,33,http://insider.espn.com/nfl/draft/player/_/id/7304,NA
2004,7444,88dcba87e25365734b35c2172a0350ab,CURTIS DELOATCH,Safety,S,North Carolina A&T,Aggies,NCAT,210,73.875,340,27,33,http://insider.espn.com/nfl/draft/player/_/id/7444,NA
2004,7501,NA,JONATHAN BRADLEY,Defensive Tackle,DT,Arkansas State,Red Wolves,ARST,299,73.5,341,30,33,http://insider.espn.com/nfl/draft/player/_/id/7501,NA
2004,7906,ff021201d10b1b41e133fad00ca9ccf8,RENALDO WORKS,Running Back,RB,Oklahoma,Sooners,OKLA,216,71.75,345,28,33,http://insider.espn.com/nfl/draft/player/_/id/7906,NA
2004,7977,ff856eab828be1fe6c815fabe839d9cb,JOHN PAUL FOSCHI,Tight End,TE,NA,NA,NA,266,75.875,346,20,33,http://insider.espn.com/nfl/draft/player/_/id/7977,NA
2004,8034,efc86036d45b0f5f7704b3880eb6f220,KELVIN KIGHT,Wide Receiver,WR,Florida,Gators,FLA,213,71.875,347,44,33,http://insider.espn.com/nfl/draft/player/_/id/8034,NA
2004,7386,f0872aa7600f2d34d0e9309205ba3109,OMAR NAZEL,Defensive End,DE,NA,NA,NA,241,76.625,348,30,32,http://insider.espn.com/nfl/draft/player/_/id/7386,NA
2004,7377,171a59e54a27505a6fa2e456b7bfdcd4,LARRY STEVENS,Defensive End,DE,NA,NA,NA,250,74,349,32,32,http://insider.espn.com/nfl/draft/player/_/id/7377,NA
2004,7439,744ee67dab51a1e35cb5b0e614ce4ee7,RYAN AYCOCK,Safety,S,Texas Tech,Red Raiders,TTU,205,71.875,350,28,32,http://insider.espn.com/nfl/draft/player/_/id/7439,NA
2004,7608,8c129bc81bd28a07c16b00d0800070f7,A.J. RICKER,NA,NA,Missouri,Tigers,MIZ,301,75.25,352,10,32,http://insider.espn.com/nfl/draft/player/_/id/7608,NA
2004,7652,2451096d53a4090f3e97eec4f5109e50,LAMAR BRYANT,Offensive Guard,OG,NA,NA,NA,310,75.375,353,22,32,http://insider.espn.com/nfl/draft/player/_/id/7652,NA
2004,7708,cb06d2f3c5db52576adb3fb7cd4ec29e,D.D. ACHOLONU,Outside Linebacker,OLB,NA,NA,NA,232,73.875,354,26,32,http://insider.espn.com/nfl/draft/player/_/id/7708,NA
2004,7861,8896dec281f47900cb183cead312b4e0,ROBERT KENT,Quarterback,QB,Jackson State,Tigers,JKST,230,76.5,356,21,32,http://insider.espn.com/nfl/draft/player/_/id/7861,NA
2004,7971,980d78de1705cbd1b7449ac24da78103,NICK ELLER,Tight End,TE,Eastern Illinois,Panthers,EIU,262,74.875,358,23,32,http://insider.espn.com/nfl/draft/player/_/id/7971,NA
2004,7311,NA,JERNARDO GILFORD,Cornerback,CB,NA,NA,NA,188,73.25,360,36,31,http://insider.espn.com/nfl/draft/player/_/id/7311,NA
2004,7378,030005b10d18d00e76db920fb0d2926d,RONALD JONES,Defensive End,DE,NA,NA,NA,257,75,361,31,31,http://insider.espn.com/nfl/draft/player/_/id/7378,NA
