season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2005,127637,238800b8c22520f3ea463bcb522e9142,D.J. Shockley,23,UGA,75.8,30.6,435,44.7,43.8,8.7,-9,1.2,67.5,-9
2005,116343,0e811ba4444be2e39e92b1126611ce8c,Charlie Whitehurst,34,CLEM,74.7,23.2,448,40.8,46.8,6.6,-13.2,2.3,63.2,-14.9
2005,120702,d66f23dbd22473ae28398febd3427f1c,Kellen Clemens,35,ORE,74.1,36.7,396,49.5,50.7,-0.4,-4.9,4.2,72.4,-5.3
2005,133795,f4b32bb99c140179189ab3da2cab3553,Drew Stanton,36,MSU,74,27.5,519,41.8,53.3,4.6,-14.3,-1.4,63.4,-15.1
2005,137200,c5b5e0831c95c3568e1054563ff8535f,Drew Olson,23,UCLA,74,37.7,475,47,57.4,1.4,-11.7,1.2,69.5,-13.1
2005,120165,4154f0d05552b33117d3ac80e8bbecba,Brad Smith,31,MIZ,73.3,47.8,670,66.9,26.9,45.6,-8.3,4.4,67.7,-10.3
2005,138204,ac628768bea49ab7446b0a55c8e9611a,Phil Horvath,25,NIU,72.2,31,296,33.1,43.4,1.9,-7.5,-1.9,74.8,-10.1
2005,146009,949fe84fcd08ac26386ee8dfa225490f,Drew Tate,24,IOWA,72.2,25.7,426,35.7,44.5,-0.8,-8.5,1.3,65.2,-9.4
2005,116993,10b5eeec5fa8a229c3e5ba5bb9162248,Brett Basanez,23,NW,71.6,42.5,666,64.6,63.9,6.7,-5.5,-0.4,66,-5.5
2005,134244,b5386ea4bd86d6318ba106fb225e6271,Omar Jacobs,22,BGSU,71,42.6,384,49.1,49.1,6.1,-6.1,0.7,76,-7
2005,146254,c79f38c2a37e5dfcdd3da91f4811b2cd,Matt Ryan,35,BC,70.8,14.2,251,21.1,23.9,0.9,-3.5,0.6,64.3,-4.3
2005,115374,0929f9fbf84fc27809aa42a850ec5b11,Jay Cutler,35,VAN,69.2,29.9,612,51.4,55.4,6,-16.5,7.6,62.4,-17.5
2005,135239,6816b1555f0d48763b5ee03739f11039,Marcus Vick,22,VT,69.1,16,481,31.9,40.1,11.3,-17.8,0.4,58.5,-20
